,T_hr,amplitude_km,phase_hr,offset_km,slope_kmph,r2,T_hr_guess,selected
2017-01-11,1.0517142234889791,15.784979080136956,1.0962272629667902,35.89741986916649,-1.9170147461808977,0.11237835044835309,1.0,False
2017-01-12,3.18839989756715,28.522877742845672,-4.0951421598814965,10.95675885907926,-0.5333908410029699,0.556104019272811,4.0,True
2017-01-12,3.1884015965705976,28.522878079474886,-0.9067333311737076,10.9567999522127,-0.5333937172416339,0.5561040192267883,3.5,False
2017-01-12,3.18836249522291,28.522870602937452,5.469786167569956,10.955853260454028,-0.5333274464418447,0.5561040190580424,2.5,False
2017-01-12,3.188361193481307,28.522870353154353,2.281415530173764,10.955820747775808,-0.5333251861463282,0.5561040190082684,3.0,False
2017-01-12,3.188351903759073,28.522868545780526,11.846413134441576,10.95559618162975,-0.5333094599981208,0.5561040185704254,2.0,False
2017-01-12,1.6436715241265007,10.487532480048168,1.71113157298747,35.69578955971571,-1.8324053928864084,0.1026594956751965,1.5,False
2017-01-12,1.0730880504852494,9.061996220725318,1.4696282268263714,33.87210820276035,-1.74458212212229,0.08465805196321241,1.0,False
2017-01-13,4.461037684075191,30.27461086114413,9.233045741052203,46.27229539998512,-2.177839776028071,0.3791896229815591,3.0,True
2017-01-13,4.4610342156912814,30.274429646305695,4.7720441440178165,46.275343523010676,-2.178009442657902,0.3791896193201071,3.5,False
2017-01-13,2.698581300675853,28.749590481319863,2.2868901016097345,73.98892682241903,-3.7389441790403874,0.36049738966067313,2.5,False
2017-01-13,2.698578786621932,28.749581757974365,-5.808864110499983,73.98917715198188,-3.7389577845363733,0.36049738951249644,4.0,False
2017-01-13,1.5322022968982658,23.24754755801137,1.1258480696021869,104.31416881849782,-5.398120689102504,0.2815006498507394,1.5,False
2017-01-13,1.532193052830874,23.247595952946025,-3.4708529687058283,104.31498097808588,-5.398164679496914,0.281500649821403,2.0,False
2017-01-13,1.1670086576508638,9.825263087675005,2.9585568853570026,88.53393438688626,-4.523603341704785,0.12993187690471997,1.0,False
2017-01-14,3.3888507046646414,24.476141688506424,-0.38205919366466196,-39.06906133820407,1.7327095822990295,0.513988280774658,3.5,True
2017-01-14,3.3889011446303154,24.476017609833363,-3.7706608274907882,-39.068558509887,1.7326785031574192,0.5139882806467015,4.0,False
2017-01-14,3.3888411311104853,24.47616623751384,3.0067226007873704,-39.06915997494956,1.7327156877285668,0.5139882800263278,3.0,False
2017-01-14,3.388911398957015,24.475993589345773,6.396123541691582,-39.06842590334238,1.7326706151243298,0.5139882799856079,2.5,False
2017-01-14,1.8965179878574459,20.876991782745424,0.248580811997951,-104.61844027458078,5.256910964148384,0.44958570284677923,1.5,False
2017-01-14,1.896535979320983,20.87690838411547,-1.6477579784392606,-104.61762207702631,5.256870434428439,0.4495857024344889,2.0,False
2017-01-14,1.1727518522427136,12.116226666629688,3.1888392528395397,-112.75833325474704,5.592751224235481,0.2518805434461734,1.0,False
2017-01-15,3.308233404429098,37.74575833600126,-1.1698090820076403,32.79088581803792,-1.897403853830698,0.747455995740862,3.5,True
2017-01-15,3.308228254139312,37.745782464443664,2.138394442145954,32.79087710864222,-1.8974044526599383,0.747455995709311,3.0,False
2017-01-15,3.3082266799489357,37.745786365353055,5.446608596750594,32.7906986671455,-1.8973953836521806,0.74745599565446,2.5,False
2017-01-15,3.308251830774245,37.74567560329968,-4.477970418432418,32.79106261031661,-1.8974094083538011,0.7474559954869593,4.0,False
2017-01-15,1.6042167904614406,11.286124816285325,-3.6152406876920344,28.16104528810584,-1.4223225003892905,0.07764870321355655,2.0,False
2017-01-15,1.6042266227817663,11.28613137272348,1.1975411920915688,28.161218033493157,-1.4223347621264208,0.07764870111141642,1.5,False
2017-01-15,1.0256345045557846,3.122260613169413,0.4681649127767219,34.29530273999047,-1.7403109424362777,0.01979203865005441,1.0,False
2017-01-16,3.160615170949922,38.92577456860873,1.465068760481635,-46.491920714234695,2.021389171201398,0.6134715975438859,3.0,True
2017-01-16,3.1606738129520684,38.925694251725446,-4.855879035227462,-46.49184298512361,2.021363044622859,0.6134715973107401,4.0,False
2017-01-16,3.160674383044995,38.92569217286743,-1.695201592312848,-46.49188162749085,2.0213648063762744,0.6134715972450538,3.5,False
2017-01-16,3.1606022821357755,38.92562792727727,10.946818579457895,-46.496690018324664,2.0216384475552784,0.6134715972096201,2.0,False
2017-01-16,3.1606798133991245,38.92569770510815,4.626187126152456,-46.49149670561889,2.0213430318423415,0.6134715969761406,2.5,False
2017-01-16,1.3989319445441641,14.21215921883044,-1.8140120865844749,-141.92401033991544,6.982745646137285,0.19061391730045707,1.5,False
2017-01-16,1.073928853382848,8.365348470730487,1.1735794819676773,-148.37662380970758,7.308249469524972,0.14295251483559712,1.0,False
2017-01-17,1.6831695481541862,22.267056608077482,2.2901829183018885,-43.882691201781036,2.1341812244094496,0.4681365568360528,1.5,True
2017-01-17,1.683206567614798,22.26715495252281,-2.759000011330043,-43.87539484545204,2.1337858921178166,0.4681365552368736,2.0,False
2017-01-17,3.149680393114672,19.811659572153488,-2.4247908234758664,22.2229846167172,-1.201637844940954,0.33878558807919257,2.5,False
2017-01-17,3.149925636198962,19.811357089153212,-2.4236015270981612,22.217441416118515,-1.2012979424180157,0.3387855873083555,3.5,False
