,T_hr,amplitude_km,is_lstid,agree
2017-04-15,3.4771204389817294,23.167253055283556,True,
2017-04-16,2.992586098094364,25.935863309262107,True,
2017-04-17,3.4565174788786113,35.52379895249109,True,
2017-04-18,2.2312121744050253,16.55008304925875,False,
2017-04-19,3.2474303062027836,15.676668641263406,False,
2017-04-20,5.252259256849263,31.198412338656848,False,
2017-04-21,1.3979983187527885,13.444008678796873,False,
2017-04-22,2.852330612831986,19.730018201546894,False,
2017-04-23,4.194401328230829,13.018886165687249,False,
2017-04-24,4.022626561660739,15.321791489329712,False,
2017-04-25,1.7553612538096344,11.556046669031229,False,
2017-04-26,2.7155542284366594,27.671972415955313,True,
2017-04-27,2.7639258769876203,51.68305443909252,True,
2017-04-28,2.563616092165131,10.417864288261388,False,
2017-04-29,2.77609284064565,33.37069228603029,True,
